School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Middle School,365,Gra-Mar Middle,285,37216,,,,,,,,92,69,89,99,,,,,,4,252,61,,32,190,159,259,61,83,36.2328428,-86.74516052,"(36.2328428, -86.74516052)"
18-19,Elementary School,370,Granbery Elementary,290,37027,,,183,147,126,153,132,,,,,,,,,4,73,115,141,2,406,366,375,148,71,133,36.0467903,-86.753046,"(36.0467903, -86.753046)"
18-19,Elementary School,670,Rosebank Elementary,600,37206,,40,70,54,45,40,45,,,,,,,,,2,7,182,30,,73,150,144,163,50,14,36.18398052,-86.71777697,"(36.18398052, -86.71777697)"
18-19,Elementary School,215,Cockrill Elementary,120,37209,4,41,51,53,60,66,54,,,,,,,,,,7,156,108,,58,168,161,216,57,84,36.15620646,-86.84514493,"(36.15620646, -86.84514493)"
18-19,High School,550,Maplewood High,445,37216,,,,,,,,,,,,196,186,200,186,,11,562,138,,57,396,372,513,144,131,36.23275198,-86.75033937,"(36.23275198, -86.75033937)"
18-19,Charter,286,East End Preparatory School,8009,37216,,,105,114,113,109,108,109,108,88,,,,,,1,7,657,124,,65,406,448,486,80,50,36.20699504,-86.71827177,"(36.20699504, -86.71827177)"
18-19,Elementary School,681,Ross Early Learning Center,7015,37206,46,192,,,,,,,,,,,,,,,2,131,25,,80,135,103,102,60,1,36.17986013,-86.75454811,"(36.17986013, -86.75454811)"
18-19,Charter,181,Cameron College Preparatory,8010,37210,,,,,,,,163,183,149,153,,,,,,5,173,419,,51,337,311,367,85,396,36.14859279,-86.76399902,"(36.14859279, -86.76399902)"
18-19,Elementary School,576,Mt. View Elementary,493,37013,5,49,120,130,125,140,111,,,,,,,,,,26,258,190,2,204,326,354,278,70,241,36.04185906,-86.60459768,"(36.04185906, -86.60459768)"
18-19,Elementary School,184,Cane Ridge Elementary,82,37013,,39,101,107,105,96,90,51,,,,,,,,4,19,291,128,1,146,302,287,278,44,210,36.03971967,-86.61815063,"(36.03971967, -86.61815063)"
18-19,Middle School,551,Thurgood Marshall Middle,633,37013,,,,,,,,228,247,240,247,,,,,1,72,399,316,,174,503,459,413,145,353,36.0223006,-86.66127077,"(36.0223006, -86.66127077)"
18-19,Elementary School,345,Glenview Elementary,265,37217,,56,110,100,119,117,111,,,,,,,,,,4,113,360,1,135,357,256,358,53,428,36.12757047,-86.70636796,"(36.12757047, -86.70636796)"
18-19,GATE Center,665,Robertson Academy Gifted School,90001,37220,18,35,,,,,,,,,,,,,,,2,3,3,,45,23,30,,1,,36.08180191,-86.77638259,"(36.08180191, -86.77638259)"
18-19,Elementary School,419,Cambridge Early Learning Center,7005,37013,,136,,,,,,,,,,,,,,,4,69,19,,44,69,67,62,8,22,36.06035009,-86.64101743,"(36.06035009, -86.64101743)"
18-19,Elementary School,415,Hermitage Elementary,320,37076,2,28,61,53,58,49,54,,,,,,,,,,5,89,68,,143,154,151,141,54,42,36.19799021,-86.63537014,"(36.19799021, -86.63537014)"
